Opis,
Data i godzina wyjazdu,2018-01-01 12:00
Data i godzina powrotu,2018-01-01 12:00
Calkowity czas podrozy,0d 0h 0m 
Wysokosc diet,0.0
Ilosc sniadan,0
Ilosc obiadow,0
Ilosc kolacji,0
Kwota zmniejszajaca diety,0.0
Rodzaj srodka transportu,
Koszty przejazdu wg biletu,0.0
Przejazd samochodem do 900ccm,0.0
Przejazd samochodem pow 900ccm,0.0
Przejazd motocyklem,0.0
Przejazd motorowerem,0.0
Koszty rozliczane km,0.0
Liczba noclegow - ryczalt,0.0
Przyslugujacy ryczalt,0.0
Koszt noclegow,0.0
Ilosc dob - ryczalt,0.0
Ryczalt za dojazdy,0.0
Koszty dojazdu,0.0
Suma kosztow,0.0
Pobrana zaliczka,0.0
Do wplaty,0.0
